195, 193, 228, 193, 228, 224, 195, 224
84, 194, 119, 194, 119, 227, 84, 227
303, 196, 338, 195, 339, 226, 304, 228
32, 196, 58, 196, 58, 229, 32, 229
246, 194, 285, 194, 285, 225, 246, 225
416, 197, 444, 197, 444, 226, 416, 226
83, 227, 117, 227, 117, 261, 83, 261
29, 227, 62, 227, 62, 263, 29, 263
193, 230, 226, 230, 226, 258, 193, 258
247, 231, 283, 231, 283, 262, 247, 262
306, 233, 338, 233, 338, 264, 306, 264
411, 234, 447, 234, 447, 264, 411, 264
135, 267, 172, 267, 172, 300, 135, 300
408, 303, 409, 262, 447, 263, 446, 304
194, 267, 227, 267, 227, 301, 194, 301
30, 270, 62, 270, 62, 300, 30, 300
247, 269, 282, 269, 282, 299, 247, 299
299, 270, 337, 270, 337, 300, 299, 300
82, 268, 116, 266, 118, 301, 84, 303
136, 299, 173, 299, 173, 337, 136, 337
27, 306, 62, 306, 62, 337, 27, 337
193, 307, 227, 307, 227, 338, 193, 338
246, 338, 247, 305, 282, 306, 280, 339
299, 306, 337, 306, 337, 339, 299, 339
136, 370, 137, 341, 174, 343, 173, 371
29, 343, 61, 343, 61, 377, 29, 377
248, 342, 280, 342, 280, 369, 248, 369
192, 344, 227, 344, 227, 373, 192, 373
300, 345, 336, 345, 336, 377, 300, 377
193, 409, 195, 375, 229, 377, 226, 411
134, 375, 173, 375, 173, 414, 134, 414
248, 378, 284, 378, 284, 411, 248, 411
29, 376, 63, 376, 63, 409, 29, 409
80, 412, 81, 376, 119, 377, 117, 413
301, 385, 336, 385, 336, 409, 301, 409
81, 412, 118, 412, 118, 447, 81, 447
27, 416, 61, 416, 61, 448, 27, 448
193, 409, 225, 409, 225, 445, 193, 445
251, 419, 281, 419, 281, 446, 251, 446
305, 417, 336, 417, 336, 445, 305, 445
135, 419, 170, 419, 170, 449, 135, 449
214, 444, 228, 444, 228, 458, 214, 458
81, 480, 82, 445, 117, 447, 116, 482
134, 480, 136, 447, 173, 450, 171, 482
191, 449, 229, 449, 229, 485, 191, 485
249, 452, 286, 452, 286, 484, 249, 484
301, 454, 337, 454, 337, 484, 301, 484
29, 452, 64, 452, 64, 486, 29, 486
77, 483, 118, 480, 122, 517, 80, 521
253, 488, 283, 488, 283, 521, 253, 521
302, 491, 335, 491, 335, 519, 302, 519
30, 489, 64, 489, 64, 516, 30, 516
193, 489, 229, 489, 229, 520, 193, 520
139, 491, 174, 491, 174, 515, 139, 515
140, 520, 174, 520, 174, 555, 140, 555
193, 519, 227, 519, 227, 552, 193, 552
249, 523, 282, 523, 282, 557, 249, 557
301, 524, 335, 526, 335, 552, 301, 552
83, 524, 114, 524, 114, 555, 83, 555
29, 524, 66, 524, 66, 556, 29, 556
247, 560, 279, 560, 279, 596, 247, 596
29, 555, 64, 555, 64, 592, 29, 592
302, 559, 335, 559, 335, 592, 302, 592
82, 561, 118, 561, 118, 592, 82, 592
139, 560, 173, 560, 173, 592, 139, 592
29, 629, 31, 596, 64, 598, 63, 630
83, 598, 115, 598, 115, 630, 83, 630
246, 596, 284, 596, 284, 629, 246, 629
305, 628, 306, 597, 338, 598, 337, 630
361, 601, 390, 601, 390, 636, 361, 636
135, 598, 173, 598, 173, 626, 135, 626
29, 627, 63, 626, 64, 667, 31, 668
558, 635, 585, 633, 588, 668, 561, 670
140, 632, 173, 632, 173, 665, 140, 665
246, 629, 282, 627, 284, 665, 248, 667
300, 632, 337, 632, 337, 665, 300, 665
82, 635, 119, 635, 119, 664, 82, 664
193, 635, 223, 635, 223, 663, 193, 663
360, 640, 392, 640, 392, 670, 360, 670
137, 697, 139, 661, 171, 664, 168, 699
80, 703, 82, 664, 120, 665, 118, 704
193, 669, 224, 669, 224, 703, 193, 703
300, 669, 337, 669, 337, 705, 300, 705
29, 703, 30, 670, 64, 671, 63, 704
245, 671, 280, 671, 280, 703, 245, 703
356, 702, 359, 670, 397, 674, 394, 706
556, 672, 585, 672, 583, 716, 556, 712
139, 702, 173, 702, 173, 739, 139, 739
29, 701, 63, 701, 63, 737, 29, 737
196, 706, 230, 706, 230, 742, 196, 742
356, 707, 392, 707, 392, 744, 356, 744
247, 702, 278, 702, 278, 737, 247, 737
301, 707, 335, 707, 335, 737, 301, 737
554, 715, 587, 717, 584, 744, 554, 744
81, 767, 82, 742, 120, 744, 119, 769
192, 782, 194, 744, 228, 746, 225, 784
244, 742, 282, 742, 282, 777, 244, 777
29, 743, 63, 743, 63, 776, 29, 776
133, 743, 173, 743, 173, 777, 133, 777
555, 753, 585, 753, 586, 810, 555, 786
79, 806, 80, 767, 120, 769, 119, 807
190, 820, 190, 784, 228, 784, 228, 820
305, 778, 338, 785, 336, 813, 305, 813
300, 745, 300, 780, 339, 780, 339, 745
245, 785, 245, 814, 284, 814, 284, 785
138, 196, 138, 229, 175, 229, 175, 196
138, 232, 138, 263, 176, 263, 176, 232
85, 342, 85, 373, 120, 373, 120, 342
86, 306, 86, 339, 125, 339, 125, 306
192, 599, 192, 632, 229, 632, 229, 599
199, 560, 199, 591, 233, 591, 233, 560
139, 781, 139, 817, 179, 817, 179, 781
31, 781, 31, 816, 65, 816, 65, 781
983, 346, 983, 367, 999, 367, 999, 346
987, 398, 987, 422, 999, 422, 999, 398
988, 432, 988, 456, 999, 456, 999, 432
990, 373, 990, 387, 999, 387, 999, 373
