51, 0, 110, 0, 110, 20, 51, 20
135, 0, 172, 0, 172, 14, 135, 14
352, 0, 400, 0, 400, 14, 352, 14
348, 98, 399, 98, 399, 144, 348, 144
122, 102, 188, 98, 191, 145, 125, 149
277, 99, 327, 99, 327, 147, 277, 147
204, 142, 202, 104, 250, 106, 255, 146
205, 165, 255, 165, 255, 205, 205, 205
115, 207, 116, 163, 178, 164, 178, 207
441, 166, 464, 166, 464, 203, 441, 203
279, 166, 336, 166, 336, 209, 279, 209
356, 171, 409, 171, 409, 202, 356, 202
122, 230, 183, 230, 183, 273, 122, 273
209, 235, 257, 235, 257, 269, 209, 269
50, 264, 52, 235, 86, 236, 85, 266
372, 238, 412, 235, 414, 274, 375, 277
118, 295, 178, 295, 178, 343, 118, 343
283, 296, 329, 294, 331, 329, 285, 331
208, 298, 248, 298, 248, 335, 208, 335
42, 296, 101, 296, 101, 350, 42, 350
0, 297, 18, 297, 18, 335, 0, 335
363, 356, 420, 356, 420, 408, 363, 408
278, 365, 332, 362, 334, 409, 281, 411
198, 413, 200, 366, 266, 368, 264, 416
363, 433, 423, 433, 423, 492, 363, 492
197, 436, 255, 436, 255, 496, 197, 496
284, 439, 335, 436, 337, 479, 287, 483
34, 439, 94, 439, 94, 492, 34, 492
118, 438, 179, 438, 179, 491, 118, 491
285, 504, 351, 502, 353, 569, 287, 571
22, 576, 27, 511, 93, 516, 88, 582
119, 512, 174, 512, 174, 567, 119, 567
375, 516, 422, 516, 422, 553, 375, 553
196, 601, 272, 596, 258, 656, 197, 657
280, 646, 289, 597, 337, 593, 343, 649
377, 592, 435, 592, 435, 637, 377, 637
123, 602, 163, 602, 163, 646, 123, 646
25, 601, 97, 601, 97, 662, 25, 662
278, 231, 278, 271, 335, 271, 335, 231
360, 299, 360, 337, 418, 337, 418, 299
356, 40, 356, 81, 406, 81, 406, 40
285, 42, 285, 71, 323, 71, 323, 42
209, 35, 209, 81, 255, 81, 255, 35
125, 39, 125, 74, 184, 74, 184, 39
49, 100, 49, 162, 110, 162, 110, 100
50, 175, 50, 209, 105, 209, 105, 175
43, 373, 43, 414, 95, 414, 95, 373
120, 372, 120, 421, 175, 421, 175, 372
192, 519, 192, 567, 259, 567, 259, 519
437, 105, 437, 134, 464, 134, 464, 105
432, 30, 432, 77, 464, 77, 464, 30
440, 240, 440, 278, 464, 278, 464, 240
429, 298, 429, 327, 464, 327, 464, 298
381, 659, 381, 698, 444, 698, 444, 659
0, 37, 0, 77, 25, 77, 25, 37
1, 94, 1, 138, 31, 138, 31, 94
53, 41, 53, 81, 106, 81, 106, 41
0, 157, 0, 206, 21, 206, 21, 157
1, 225, 1, 262, 18, 262, 18, 225
