16, 0, 47, 0, 49, 51, 15, 51
311, 62, 313, 8, 345, 9, 343, 62
85, 12, 125, 12, 125, 69, 85, 69
236, 57, 236, 18, 273, 19, 272, 58
164, 18, 197, 18, 197, 59, 164, 59
11, 65, 51, 65, 51, 113, 11, 113
233, 70, 271, 70, 271, 121, 233, 121
169, 77, 193, 77, 193, 118, 169, 118
312, 75, 347, 75, 347, 114, 312, 114
85, 85, 133, 85, 133, 132, 85, 132
305, 171, 306, 124, 351, 126, 349, 173
17, 127, 53, 127, 53, 177, 17, 177
241, 134, 274, 134, 274, 178, 241, 178
163, 133, 199, 133, 199, 179, 163, 179
91, 182, 91, 144, 129, 145, 128, 182
311, 232, 312, 184, 343, 185, 346, 233
163, 193, 198, 193, 199, 244, 163, 244
233, 195, 273, 195, 273, 237, 233, 237
16, 224, 48, 224, 48, 274, 16, 274
308, 247, 343, 247, 342, 291, 308, 287
237, 254, 268, 254, 268, 298, 237, 298
158, 261, 202, 261, 202, 305, 158, 305
12, 288, 47, 288, 44, 359, 17, 359
312, 298, 345, 298, 348, 355, 312, 351
233, 353, 234, 313, 270, 314, 269, 354
164, 319, 197, 319, 197, 351, 164, 351
